city,tracts,courts,pct_tracts_no_court,q1_per_10k,q4_per_10k,q1_q4_ratio,rho_density_income,lpa_min,lpa_max,lpa_ratio,lpa_q1_median,lpa_q4_median
Atlanta,530,191,77.2,1.08,1.55,0.69,0.104,9.5,49.6,5.2,31.1,13.8
Chicago,1332,397,81.2,1.67,0.42,3.92,-0.212,8.5,51.7,6.1,35.1,14.8
