GEOID,NAMELSAD,neighborhood,court_count,courts_per_10k,courts_per_sqmi,median_household_income,income_q,total_population,pct_white,pct_black,pct_hispanic,poverty_rate,LPA,OBESITY,MHLTH,area_sqmi,ALAND,city,has_court,lat,lon
13089020802,Census Tract 208.02,East Lake,1,2.300966405890474,0.9602310497153587,109755.0,Q3,4346,44.73078693051081,46.66359871145882,5.591348366313851,7.184107184107185,18.5,30.3,15.6,1.0414160220047353,2697255,Atlanta,Has court,33.74709191866065,-84.30189969641867
13089021911,Census Tract 219.11,,0,0.0,0.0,46938.0,Q1 (lowest),3128,0.0,86.31713554987212,11.636828644501279,37.89370078740157,32.4,42.1,22.7,0.35057845827857115,907994,Atlanta,No court,33.82056518880194,-84.19196334293076
13089021410,Census Tract 214.10,,1,1.8758206715438004,0.9527776909196922,102609.0,Q3,5331,53.42337272556743,8.760082536109548,52.54173700994185,10.166948039767398,24.8,29.0,16.7,1.0495627778970404,2718355,Atlanta,Has court,33.85460511051304,-84.30648504736172
13089021503,Census Tract 215.03,,0,0.0,0.0,72500.0,Q2,3781,58.82041787886803,22.82464956360751,8.595609627082784,15.77080491132333,16.3,25.0,14.5,0.7435474604515542,1925779,Atlanta,No court,33.82079835315112,-84.32530228113714
13121001001,Census Tract 10.01,Georgia Tech,0,0.0,0.0,102591.0,Q3,4925,40.79187817258883,12.873096446700508,9.197969543147208,20.885442721360683,13.7,20.5,17.8,0.3611036035688196,935254,Atlanta,No court,33.78112527009494,-84.39163970121591
13121008903,Census Tract 89.03,,0,0.0,0.0,97098.0,Q3,3225,33.984496124031004,45.48837209302326,21.333333333333336,16.124031007751938,16.1,27.2,16.1,0.4459507148295668,1155007,Atlanta,No court,33.81727559179421,-84.44389859610926
13121004300,Census Tract 43,Atlanta University Center,0,0.0,0.0,51838.0,Q1 (lowest),2389,25.78484721640854,58.18334030975304,1.9673503557974048,26.594594594594597,21.0,29.0,25.7,0.2409285293985918,624002,Atlanta,No court,33.74530425859835,-84.40916286791347
13121980000,Census Tract 9800,,0,,0.0,,nan,0,,,,,,,,1.052133446178129,2725013,Atlanta,No court,33.65185025650191,-84.42574167346666
13089021208,Census Tract 212.08,,0,0.0,0.0,86448.0,Q3,5149,50.689454262963686,22.23732763643426,7.28296756651777,3.9619343561856675,15.4,24.2,13.8,1.3949705558481351,3612957,Atlanta,No court,33.90121062707118,-84.30369823196125
13089980000,Census Tract 9800,East Lake,0,,0.0,,nan,0,,,,,,,,0.2488915006556015,644626,Atlanta,No court,33.7425671971151,-84.30226061078257
13089020400,Census Tract 204,Candler Park,1,3.684598378776714,2.555488899851998,188438.0,Q4 (highest),2714,82.68238761974945,3.500368459837878,4.384672070744289,2.9108327192336034,11.2,23.8,13.4,0.3913145543531476,1013500,Atlanta,Has court,33.766075422475616,-84.3443446757855
13089020500,Census Tract 205,Edgewood,1,2.8200789622109417,1.535939065041687,99961.0,Q3,3546,53.60970107163,30.51325437112239,6.768189509306261,6.655386350817823,15.7,27.6,15.4,0.6510674952934145,1686257,Atlanta,Has court,33.7526586613212,-84.34161949558252
13089020600,Census Tract 206,Edgewood,0,0.0,0.0,84297.0,Q2,2885,43.327556325823224,44.0207972270364,7.937608318890814,27.001733102253034,17.2,30.7,17.1,0.4275228302216072,1107279,Atlanta,No court,33.75761719217976,-84.33568216686461
13089020801,Census Tract 208.01,Kirkwood,0,0.0,0.0,175524.0,Q4 (highest),2857,61.428071403570186,24.221211060553028,7.6303815190759545,3.080154007700385,13.6,26.0,13.7,0.532343006994627,1378762,Atlanta,No court,33.75587381611793,-84.31625347819096
13121001002,Census Tract 10.02,Georgia Tech,3,4.056246619794483,4.403633099151914,55985.0,Q1 (lowest),7396,45.767982693347754,22.674418604651162,9.167117360735533,29.99263080324245,16.8,19.5,25.3,0.681255666049418,1764444,Atlanta,Has court,33.776356409830306,-84.39951243766109
13089023501,Census Tract 235.01,,0,0.0,0.0,69904.0,Q2,3845,7.100130039011704,81.89856957087126,2.8348504551365408,14.37125748502994,25.3,35.4,18.3,0.8873766982704167,2298295,Atlanta,No court,33.73505471204899,-84.2691203585503
13089021703,Census Tract 217.03,,0,0.0,0.0,198393.0,Q4 (highest),4331,82.05957053798198,3.625028861694759,6.557377049180328,3.205128205128205,14.0,22.2,10.8,2.015093120122564,5219067,Atlanta,No court,33.84465887022554,-84.27391730777222
13089022401,Census Tract 224.01,,1,2.4154589371980677,0.9730000623624552,113975.0,Q3,4140,71.85990338164251,4.154589371980676,9.927536231884059,9.251323418200151,12.8,23.2,13.5,1.0277491633165867,2661858,Atlanta,Has court,33.78946523095022,-84.3393252361415
13089022403,Census Tract 224.03,,0,0.0,0.0,224286.0,Q4 (highest),3904,86.83401639344262,0.5122950819672131,6.429303278688526,6.915983606557377,12.3,22.7,11.3,1.8779832184550662,4863954,Atlanta,No court,33.779676130836265,-84.32177189291637
13121011431,Census Tract 114.31,,0,0.0,0.0,113152.0,Q3,4333,13.408723747980615,6.877452111700901,79.25225017309023,5.954304177244404,29.4,29.3,17.9,0.26137843109697806,676967,Atlanta,No court,34.03287525728456,-84.32502637563734
13121011430,Census Tract 114.30,,0,0.0,0.0,58553.0,Q1 (lowest),4359,15.003441156228492,28.07983482450103,51.22734572149575,24.753383803624686,28.4,33.0,19.4,0.381046167009268,986905,Atlanta,No court,34.02758803310386,-84.32583025255141
13121011438,Census Tract 114.38,,0,0.0,0.0,114261.0,Q3,5507,40.69366261122208,14.654076629743962,19.52061013255856,14.018521881242055,19.3,26.5,15.5,1.8911585690744512,4898078,Atlanta,No court,34.01559632305305,-84.34336540804074
13121011435,Census Tract 114.35,,0,0.0,0.0,109644.0,Q3,3604,70.86570477247503,15.98224195338513,5.826859045504994,9.433962264150944,16.4,25.0,14.5,1.211499821620795,3137770,Atlanta,No court,34.01153464444122,-84.32117081358234
13121011436,Census Tract 114.36,,2,6.365372374283896,1.2734541596171556,158226.0,Q4 (highest),3142,64.035646085296,13.653723742838956,11.648631444939529,8.928571428571429,14.9,23.3,12.2,1.5705316009186143,4067658,Atlanta,Has court,33.9991907510962,-84.31334076721335
13121011507,Census Tract 115.07,,0,0.0,0.0,250001.0,Q4 (highest),4291,75.39035189932417,6.105802843160102,13.656490328594733,4.870659519925425,13.8,23.7,13.3,8.273223273621346,21427549,Atlanta,No court,34.157790710421885,-84.33558856302159
