id,GEOID,access,hoops,surface,lit,name,sport,leisure,city,lon,lat,neighborhood,income_q,LPA,median_household_income
way/560115747,13121011653,,2,,,,basketball,pitch,Atlanta,-84.23730001670229,34.08441732555418,,Q4 (highest),13.4,237692.0
way/588783149,13121011649,permissive,2,asphalt,,,basketball,pitch,Atlanta,-84.16504388212473,34.037611401234,,Q4 (highest),16.9,169000.0
way/593088492,13121010314,,,,,Cliftondale Basketball Courts,basketball,pitch,Atlanta,-84.59788557457482,33.65219141818788,,Q3,21.2,111036.0
way/652882441,13089023107,,,,,,basketball,pitch,Atlanta,-84.24323693613411,33.7389463470874,,Q2,23.3,81667.0
way/673400121,13121007301,,2,,yes,,basketball,pitch,Atlanta,-84.384534,33.66769855,Glenrose Heights,Q1 (lowest),27.2,40372.0
way/673400122,13121007301,,1,,yes,,basketball,pitch,Atlanta,-84.384620361277,33.66783727503789,Glenrose Heights,Q1 (lowest),27.2,40372.0
way/673400123,13121007301,,1,,yes,,basketball,pitch,Atlanta,-84.38444555000001,33.667837750000004,Glenrose Heights,Q1 (lowest),27.2,40372.0
way/675464300,13121011428,,,,,,basketball,pitch,Atlanta,-84.28640195000001,34.03786965,,Q4 (highest),15.1,146083.0
way/718445546,13121008601,,,,,,basketball,pitch,Atlanta,-84.45908427236594,33.77730406061242,Almond Park,Q1 (lowest),38.1,30729.0
way/724582476,13121011660,,,,,,basketball,pitch,Atlanta,-84.27148169813323,34.102173248402515,,Q3,16.6,115615.0
way/740409412,13121006400,yes,2,,,,basketball,pitch,Atlanta,-84.3743821,33.7197168,Chosewood Park,Q1 (lowest),25.1,51302.0
way/742729358,13121005300,,,,,,basketball,pitch,Atlanta,-84.37529814141358,33.7354156369404,Grant Park,Q4 (highest),12.5,141719.0
way/742908936,13121006900,,,,,,basketball,pitch,Atlanta,-84.3550208,33.715074,Custer/McDonough/Guice,Q3,23.2,100370.0
way/744252251,13121011652,,1,asphalt,,,basketball,pitch,Atlanta,-84.24211597103437,34.09698412007542,,Q4 (highest),16.0,137500.0
way/746015753,13121008602,,2,,,,basketball,pitch,Atlanta,-84.49409112207786,33.79108708465701,English Park,Q1 (lowest),35.5,42321.0
way/801352552,13121004800,yes,,,,,basketball,pitch,Atlanta,-84.38130690000001,33.745391000000005,Capitol Gateway,Q1 (lowest),43.1,16015.0
way/801352553,13121004800,yes,,,,,basketball,pitch,Atlanta,-84.38114015584229,33.74539017487767,Capitol Gateway,Q1 (lowest),43.1,16015.0
way/806496403,13121009604,,,,,,basketball,pitch,Atlanta,-84.36872155,33.835390249999996,Garden Hills,Q2,12.3,74338.0
way/834295397,13121011440,,1,,no,,basketball,pitch,Atlanta,-84.30593796339552,33.99421106930175,,Q4 (highest),16.9,139792.0
way/854342458,13121004400,,,,,,basketball,pitch,Atlanta,-84.39888017473936,33.74012961464793,Mechanicsville,Q1 (lowest),39.5,31075.0
way/857643745,13121005800,,,,,,basketball,pitch,Atlanta,-84.41190960000002,33.7322824,Adair Park,Q1 (lowest),24.3,57813.0
way/860383006,13121006200,,,,,,basketball,pitch,Atlanta,-84.42033049416222,33.73200862525308,Oakland City,Q2,27.1,62000.0
way/861137383,13121006400,yes,1,,,,basketball,pitch,Atlanta,-84.37429754999998,33.71871704999999,Chosewood Park,Q1 (lowest),25.1,51302.0
way/861137387,13121006400,yes,1,,,,basketball,pitch,Atlanta,-84.37464985000001,33.7196012,Chosewood Park,Q1 (lowest),25.1,51302.0
way/863224721,13089023209,private,1,,,,basketball,pitch,Atlanta,-84.16866764999999,33.777261550000006,,Q3,21.0,86458.0
way/863224779,13089023209,,2,,,,basketball,pitch,Atlanta,-84.16669274679919,33.78366223062922,,Q3,21.0,86458.0
way/863224780,13089023209,,2,,,,basketball,pitch,Atlanta,-84.16653464999999,33.78377865,,Q3,21.0,86458.0
way/875245600,13121001801,yes,2,plastic,yes,,basketball,pitch,Atlanta,-84.37577858405102,33.76943027388556,Old Fourth Ward,Q1 (lowest),29.5,47852.0
way/887393725,13121012000,yes,2,,yes,,basketball,pitch,Atlanta,-84.38928130000001,33.72626895,Mechanicsville,nan,40.5,
way/887393726,13121012000,yes,2,,yes,,basketball,pitch,Atlanta,-84.38927739999998,33.7261372,Mechanicsville,nan,40.5,
way/902105288,13121010137,private,2,concrete,no,,basketball,pitch,Atlanta,-84.36530445000001,33.89475465,,Q2,14.9,82070.0
way/907120180,13121010204,private,1,,,,basketball,pitch,Atlanta,-84.42967821521181,33.923972802054855,,Q4 (highest),13.1,174979.0
