GEOID,NAMELSAD,neighborhood,court_count,courts_per_10k,courts_per_sqmi,median_household_income,income_q,total_population,pct_white,pct_black,pct_hispanic,poverty_rate,LPA,OBESITY,MHLTH,area_sqmi,ALAND,city,has_court,lat,lon
13089022205,Census Tract 222.05,,0,0.0,0.0,75625.0,Q2,4411,39.37882566311494,15.50668782588982,21.990478349580595,5.03382949932341,18.9,27.0,15.9,0.7759862207855789,2009795,Atlanta,No court,33.80908997153486,-84.26421663795736
13089022206,Census Tract 222.06,,0,0.0,0.0,82543.0,Q2,3102,34.622823984526114,34.13926499032882,2.0631850419084463,10.219707057256992,20.0,23.8,15.4,0.8184408576410392,2119752,Atlanta,No court,33.799481333279104,-84.27318255261899
13089023444,Census Tract 234.44,,0,0.0,0.0,67250.0,Q2,2380,11.974789915966387,81.97478991596638,1.134453781512605,40.068201193520885,32.1,41.8,18.8,5.803469359703597,15030916,Atlanta,No court,33.67386049981122,-84.31970055800622
13089021708,Census Tract 217.08,,0,0.0,0.0,83945.0,Q2,3811,68.19732353712936,20.650747835213853,11.886643925478877,10.705851482550512,18.9,28.0,14.9,1.7215539222575549,4458804,Atlanta,No court,33.835752911537995,-84.25520242848394
13089023442,Census Tract 234.42,,0,0.0,0.0,115341.0,Q3,2961,2.2965214454576155,96.31881121242823,3.309692671394799,7.913425769360839,26.6,38.4,17.1,1.4462866237218088,3745865,Atlanta,No court,33.69503553279845,-84.18858750774443
13089023701,Census Tract 237.01,,0,0.0,0.0,76078.0,Q2,2636,37.481031866464335,55.61456752655539,5.993930197268589,5.993930197268589,16.1,28.3,15.0,1.0255395005691146,2656135,Atlanta,No court,33.73817494834324,-84.32166827734093
13089020901,Census Tract 209.01,East Atlanta,3,9.250693802035153,3.0561532410320957,114478.0,Q3,3243,52.63644773358001,33.425840271353685,5.365402405180388,9.682392846130126,15.1,27.5,14.4,0.9816261696965392,2542400,Atlanta,Has court,33.740572921766,-84.34087162461739
13121000700,Census Tract 7,Knight Park/Howell Station,0,0.0,0.0,147045.0,Q4 (highest),3004,36.884154460719046,54.92676431424767,7.889480692410119,8.061002178649238,21.3,31.5,18.4,0.6822417710043445,1766998,Atlanta,No court,33.7800639006268,-84.42343706601447
13089023115,Census Tract 231.15,,0,0.0,0.0,,nan,1765,15.58073654390935,66.45892351274789,9.858356940509914,33.33333333333333,45.0,48.0,20.9,0.2558699113663847,662700,Atlanta,No court,33.77378088588147,-84.24131214103286
13089023422,Census Tract 234.22,,0,0.0,0.0,67875.0,Q2,5628,2.4697938877043355,95.77114427860697,0.6396588486140725,15.822222222222221,27.0,38.8,18.4,3.4883860465762777,9034878,Atlanta,No court,33.66068649647637,-84.26566721982682
13089023424,Census Tract 234.24,,0,0.0,0.0,67245.0,Q2,5547,4.218496484586263,95.1685595817559,0.9374436632413918,21.959581378563694,26.5,38.5,17.7,2.7088866821004576,7015984,Atlanta,No court,33.67242412181336,-84.29198273301259
13089023427,Census Tract 234.27,,0,0.0,0.0,66571.0,Q2,2985,4.690117252931323,83.68509212730318,4.0871021775544385,21.6750418760469,30.4,39.1,17.6,1.7562641216870503,4548703,Atlanta,No court,33.6815354916839,-84.15694886481818
13121010108,Census Tract 101.08,,1,2.2346368715083798,0.5214230364959566,146979.0,Q4 (highest),4475,87.21787709497207,4.75977653631285,3.1508379888268156,3.9776536312849164,14.6,22.0,11.4,1.917828576811939,4967153,Atlanta,Has court,33.96601002036643,-84.27984965484632
13089023437,Census Tract 234.37,,0,0.0,0.0,90766.0,Q3,7304,0.20536692223439212,96.13910186199342,1.095290251916758,13.62763915547025,24.8,37.8,16.0,3.902678313567476,10107890,Atlanta,No court,33.64792641366218,-84.22325475026166
13089021609,Census Tract 216.09,,0,0.0,0.0,108036.0,Q3,1726,61.70336037079953,4.113557358053303,22.595596755504054,3.186558516801854,15.0,23.7,12.3,0.6746479134266259,1747330,Atlanta,No court,33.8442926403817,-84.30007723879042
13089021709,Census Tract 217.09,,0,0.0,0.0,71125.0,Q2,3320,55.21084337349398,27.590361445783135,13.403614457831326,4.246987951807228,18.2,27.1,15.1,0.9151443944914031,2370213,Atlanta,No court,33.86234757604281,-84.27737417507664
13089021222,Census Tract 212.22,,1,2.024701356549909,0.8573569845787578,89728.0,Q3,4939,54.80866572180604,28.447054059526224,6.499291354525208,24.333888426311407,17.1,24.6,13.5,1.1663752882252736,3020898,Atlanta,Has court,33.89087840765247,-84.3177224920746
13089023441,Census Tract 234.41,,0,0.0,0.0,81250.0,Q2,3613,2.186548574591752,92.36091890395794,2.158870744533629,9.166898857620508,24.4,36.8,16.3,2.2386721482879457,5798134,Atlanta,No court,33.67517639545948,-84.18563939198496
13089021711,Census Tract 217.11,,0,0.0,0.0,120227.0,Q3,3111,46.833815493410484,15.26840244294439,35.61555769848923,23.028703398218408,24.0,28.3,15.0,1.0436839861806309,2703129,Atlanta,No court,33.884921023203354,-84.25914502028324
13089023216,Census Tract 232.16,,0,0.0,0.0,69150.0,Q2,4471,6.799373741892194,88.43659136658466,5.412659360322076,9.491828967987463,26.8,36.2,16.4,1.486819243950165,3850844,Atlanta,No court,33.741536690812936,-84.205526908442
13089023318,Census Tract 233.18,,0,0.0,0.0,85139.0,Q3,4169,5.325017989925642,81.38642360278244,8.20340609258815,2.1108179419525066,21.8,34.6,15.9,2.8924940964977446,7491525,Atlanta,No court,33.728121929421256,-84.08269967020959
13089021204,Census Tract 212.04,,0,0.0,0.0,40449.0,Q1 (lowest),3422,3.5943892460549387,0.847457627118644,98.45119812974869,44.090775125257885,49.6,40.4,22.4,1.8083828959825297,4683690,Atlanta,No court,33.881823812438356,-84.29908854417377
13089022100,Census Tract 221,,0,0.0,0.0,63810.0,Q2,3669,24.584355410193513,56.44589806486782,3.815753611338239,18.50640501499046,25.6,35.4,17.2,1.3129794423757948,3400601,Atlanta,No court,33.79051494534943,-84.25543276533723
13089023801,Census Tract 238.01,,0,0.0,0.0,90822.0,Q3,5326,20.672174239579423,63.44348479158843,11.716109650769809,10.501596843885027,21.2,33.0,16.7,1.6631663930489253,4307581,Atlanta,No court,33.717819432534405,-84.33860588559541
13121011423,Census Tract 114.23,,2,3.2905561039815727,0.801869882540998,151767.0,Q4 (highest),6078,81.96775255018099,0.3784139519578809,9.986837775584073,3.9322145442579797,13.5,22.8,12.8,2.4941702432598145,6459871,Atlanta,Has court,34.017750151232775,-84.38399266541391
13121010211,Census Tract 102.11,,0,0.0,0.0,225268.0,Q4 (highest),3370,79.76261127596439,9.70326409495549,5.044510385756676,4.699191858724933,12.2,21.6,12.0,1.479245463685546,3831228,Atlanta,No court,33.88154633551091,-84.39517209405433
13121012000,Census Tract 120,Mechanicsville,3,8.298755186721992,3.26178940832881,,nan,3615,14.965421853388658,75.82295988934993,4.011065006915629,58.85140786172289,40.5,46.0,23.1,0.9197405547824932,2382117,Atlanta,Has court,33.73593970690379,-84.39299784665126
13121007002,Census Tract 70.02,Lakewood,0,0.0,0.0,58750.0,Q1 (lowest),3051,3.1137332022287776,91.93706981317601,0.0,16.617502458210424,28.6,36.8,19.5,1.688367282010573,4372851,Atlanta,No court,33.69355511534181,-84.36774358732214
13121009900,Census Tract 99,Tuxedo Park,1,2.030456852791878,0.33376521119445973,141930.0,Q4 (highest),4925,84.85279187817258,8.121827411167512,3.6345177664974617,1.7055837563451774,12.5,21.8,13.1,2.996118128732643,7759910,Atlanta,Has court,33.859903262306844,-84.39486452182895
13121011000,Census Tract 110,,0,0.0,0.0,47933.0,Q1 (lowest),2855,15.3415061295972,47.42556917688266,43.6077057793345,19.843249020306377,33.1,37.5,18.7,1.097120141097179,2841528,Atlanta,No court,33.67426479464671,-84.42697686848189
13121000100,Census Tract 1,Morningside/Lenox Park,0,0.0,0.0,141410.0,Q4 (highest),5615,74.47907390917186,7.390917186108638,3.2769367764915405,9.47799750579013,12.6,23.4,13.5,1.2405984120389748,3213135,Atlanta,No court,33.79916746953256,-84.35510980515254
13121000400,Census Tract 4,Ansley Park,2,10.498687664041995,3.330244806272719,156528.0,Q4 (highest),1905,77.32283464566929,11.601049868766404,0.9448818897637795,2.967525195968645,12.1,21.6,11.6,0.6005564504545967,1555434,Atlanta,Has court,33.78853120344917,-84.37823536878432
13089021217,Census Tract 212.17,,0,0.0,0.0,126667.0,Q4 (highest),2806,55.91589451176051,20.349251603706346,11.119030648610122,6.03882099209202,15.2,24.4,12.7,0.6365326789158868,1648612,Atlanta,No court,33.92833876695143,-84.28993975580418
13089021409,Census Tract 214.09,,1,2.8943560057887123,2.4868675501648636,75885.0,Q2,3455,26.946454413892905,35.57163531114327,45.6150506512301,27.091172214182347,28.5,34.5,18.7,0.40211228777893954,1041466,Atlanta,Has court,33.8610665389483,-84.29577047913244
13089023111,Census Tract 231.11,,0,0.0,0.0,51058.0,Q1 (lowest),1956,6.901840490797547,79.85685071574642,9.969325153374232,25.396825396825395,31.3,40.2,17.7,0.9025574635867039,2337613,Atlanta,No court,33.75992004768391,-84.22672368376638
13089022010,Census Tract 220.10,,0,0.0,0.0,88000.0,Q3,2199,26.284674852205548,42.33742610277399,3.5925420645748067,13.271028037383179,27.8,28.5,16.7,0.4805902575610389,1244723,Atlanta,No court,33.812971725080715,-84.23069332875606
13089023113,Census Tract 231.13,,0,0.0,0.0,57250.0,Q1 (lowest),3143,32.834871142220805,36.97104677060133,1.4317531021317214,18.071905822462618,17.3,29.9,15.9,0.7875878189397016,2039843,Atlanta,No court,33.778125114246926,-84.25172242337241
13089021821,Census Tract 218.21,,0,0.0,0.0,160972.0,Q4 (highest),2947,74.38072616219885,8.754665761791653,8.143875127248048,4.580929759077027,15.7,23.5,11.7,1.3426235951672363,3477379,Atlanta,No court,33.86795447836788,-84.2263185840706
