GEOID,NAMELSAD,neighborhood,court_count,courts_per_10k,courts_per_sqmi,median_household_income,income_q,total_population,pct_black,poverty_rate,LPA,OBESITY,MHLTH,area_sqmi,ALAND,city,has_court,lat,lon
17031816500,Census Tract 8165,,0,0.0,0.0,61396.0,Q2,3902,2.3321373654536135,12.532034853921067,29.9,33.8,16.0,1.3464093269930208,3487184,Chicago,No court,41.89816773760031,-87.88111106320936
17031805701,Census Tract 8057.01,,0,0.0,0.0,176577.0,Q4 (highest),5258,1.8448079117535185,2.8337771015595283,13.7,24.4,11.9,1.0637867820237006,2755195,Chicago,No court,42.00297054368649,-87.85102997505142
17031804803,Census Tract 8048.03,,0,0.0,0.0,92693.0,Q3,5367,4.490404322712875,13.39668343581144,19.2,26.9,14.2,2.1848614742616568,5658765,Chicago,No court,41.99956225611216,-88.0881164885416
17031191100,Census Tract 1911,Belmont Cragin,1,1.5885623510722797,3.1491781093414297,53683.0,Q1 (lowest),6295,3.7648927720413026,33.41311632359981,38.2,38.5,17.9,0.3175431700841857,822433,Chicago,Has court,41.919629342283635,-87.75097635157915
17031804105,Census Tract 8041.05,,0,0.0,0.0,149381.0,Q4 (highest),4372,2.950594693504117,1.303751143641354,15.1,24.0,12.4,4.935469971289442,12782808,Chicago,No court,42.0799943984142,-88.09637352168339
17031120100,Census Tract 1201,"Sauganash,Forest Glen",5,12.183235867446394,4.641979822528582,157543.0,Q4 (highest),4104,0.29239766081871343,2.4378231962570793,14.5,25.4,12.1,1.0771266121696317,2789745,Chicago,Has court,42.001982200550216,-87.77500735427233
17031804705,Census Tract 8047.05,,0,0.0,0.0,78160.0,Q3,4426,7.27519204699503,1.5617822691777674,23.1,27.6,14.8,0.7417933982705711,1921236,Chicago,No court,42.056276732449525,-88.1185691626211
17031803603,Census Tract 8036.03,,0,0.0,0.0,179401.0,Q4 (highest),6291,0.8742648227626768,1.5052041633306645,13.8,22.3,10.9,3.9044207926832093,10112403,Chicago,No court,42.120361551191124,-88.09537114932188
17031820101,Census Tract 8201.01,,0,0.0,0.0,139018.0,Q4 (highest),7754,2.1924168171266443,3.728813559322034,16.5,24.9,11.5,2.692470003722025,6973465,Chicago,No court,41.7762935659942,-87.90323198982664
17031828300,Census Tract 8283,,0,0.0,0.0,55069.0,Q1 (lowest),2949,54.83214649033571,12.071888775856223,22.1,32.3,14.6,4.511224376329157,11684017,Chicago,No court,41.569974305682855,-87.61207581753543
17031824900,Census Tract 8249,,0,0.0,0.0,70000.0,Q2,2963,49.983125210934865,15.909090909090908,30.3,38.7,17.6,2.1437871526817887,5552383,Chicago,No court,41.609502103339345,-87.69771246742329
17031827801,Census Tract 8278.01,,0,0.0,0.0,86956.0,Q3,4845,65.34571723426212,18.79077859939104,27.2,37.2,16.1,1.0971741954016776,2841668,Chicago,No court,41.60122646448986,-87.60816143820833
17031801500,Census Tract 8015,,0,0.0,0.0,139797.0,Q4 (highest),6110,3.1751227495908347,4.721402534282243,16.0,24.0,11.1,3.908499962161987,10122968,Chicago,No court,42.140417130345526,-87.81388522856933
17031806002,Census Tract 8060.02,,0,0.0,0.0,69354.0,Q2,7545,3.9231278992710403,10.64770059384063,22.9,25.1,13.7,0.8942751858309769,2316162,Chicago,No court,42.04842072316925,-87.86656083998308
17031811701,Census Tract 8117.01,,0,0.0,0.0,74899.0,Q2,3135,0.0,23.183279742765272,30.9,34.1,16.4,2.7954507897333887,7240184,Chicago,No court,41.94212913555823,-87.90299396926254
17031823803,Census Tract 8238.03,,0,0.0,0.0,93951.0,Q3,7458,2.8828104049342986,11.75827180749248,23.4,29.6,15.7,2.070258240578721,5361944,Chicago,No court,41.69702158194798,-87.82678085595767
17031820800,Census Tract 8208,,0,0.0,0.0,85036.0,Q3,3422,0.6136762127410871,4.354178842781999,28.7,33.3,16.5,2.174673396170175,5632378,Chicago,No court,41.806526574188176,-87.77580549696746
17031300800,Census Tract 3008,Little Village,0,0.0,0.0,31161.0,Q1 (lowest),4177,0.0,45.726598036868566,46.5,42.4,19.1,0.12580984931204314,325846,Chicago,No court,41.84811086323606,-87.70758180472795
