id,GEOID,access,hoops,surface,lit,name,city,lon,lat,neighborhood,income_q,LPA,OBESITY,median_household_income,pct_black,lit_status,hoops_status
way/1512557611,13121011100,,2,,,,Atlanta,-84.42018149999998,33.68821354999999,,Q2,20.1,29.6,78772.0,52.955176517255055,Not recorded,Full court (2+ hoops)
way/1518534840,13121011508,,,,,,Atlanta,-84.26140584999999,34.1808894,,Q4 (highest),12.8,21.5,250001.0,18.224707321334964,Not recorded,Not recorded
way/1518534856,13121011661,,,,,,Atlanta,-84.26734648480891,34.126606178813425,,Q4 (highest),14.3,22.4,229583.0,5.443453777569216,Not recorded,Not recorded
way/1524794416,13121010306,,,,,,Atlanta,-84.58260823322915,33.69156652517454,,Q2,21.6,34.1,83929.0,87.3326191751473,Not recorded,Not recorded
way/1529515835,13121011510,,,,,,Atlanta,-84.35381069999998,34.087964449999994,,Q4 (highest),12.7,20.8,224559.0,5.9483526268922535,Not recorded,Not recorded
node/6568153301,13089022800,,,,,,Atlanta,-84.2886178,33.7647517,,Q4 (highest),15.2,25.8,189333.0,14.358108108108109,Not recorded,Not recorded
node/7852001676,13121010108,,1,,,,Atlanta,-84.2770953,33.9787037,,Q4 (highest),14.6,22.0,146979.0,4.75977653631285,Not recorded,Half court (1 hoop)
node/8057340472,13121011440,,1,,,,Atlanta,-84.2912158,34.0021687,,Q4 (highest),16.9,23.6,139792.0,26.888604353393085,Not recorded,Half court (1 hoop)
node/12215093688,13121010308,,,,,,Atlanta,-84.5702199,33.6441045,,Q3,20.8,32.7,107136.0,94.33758763257235,Not recorded,Not recorded
node/12215093707,13121010313,,,,,,Atlanta,-84.5616599,33.7107216,,Q2,17.6,31.6,80847.0,96.21008654133094,Not recorded,Not recorded
node/12215093733,13121007809,,,,,,Atlanta,-84.5310055,33.7289172,,Q3,22.8,32.8,96250.0,87.70665536244171,Not recorded,Not recorded
node/13666936574,13121011423,,,,,,Atlanta,-84.3903702,34.0134277,,Q4 (highest),13.5,22.8,151767.0,0.3784139519578809,Not recorded,Not recorded
way/32709664,17031160602,,2,,,,Chicago,-87.6967497325461,41.96088941579638,Irving Park,Q3,20.4,29.3,96324.0,1.5009380863039399,Not recorded,Full court (2+ hoops)
way/52494915,17031071500,yes,4,paved,no,,Chicago,-87.6300912241989,41.91596622583023,Lincoln Park,Q4 (highest),9.4,22.1,123663.0,1.690659524606629,Not lit,Full court (2+ hoops)
way/116060582,17031270500,,2,,,,Chicago,-87.71701305,41.877665349999994,Garfield Park,Q1 (lowest),47.1,51.4,24375.0,98.72430900070871,Not recorded,Full court (2+ hoops)
way/116060587,17031836800,,,,,,Chicago,-87.71741467552769,41.88363510330898,Garfield Park,Q1 (lowest),46.1,50.1,22642.0,94.09667194928684,Not recorded,Not recorded
way/116492180,17031843100,,,,,,Chicago,-87.69604355,41.8565186,North Lawndale,Q2,30.2,42.1,61648.0,77.19651240778002,Not recorded,Not recorded
way/117201916,17031160700,,2,,,,Chicago,-87.69771877538685,41.95011855569199,Irving Park,Q3,23.4,28.9,89531.0,4.789572864321609,Not recorded,Full court (2+ hoops)
way/122552994,17031191100,yes,,,,,Chicago,-87.75219754999998,41.92260489999999,Belmont Cragin,Q2,38.2,38.5,53683.0,3.7648927720413026,Not recorded,Not recorded
way/147054673,17031240900,yes,,asphalt,,,Chicago,-87.69979706644283,41.909214350433636,Humboldt Park,Q4 (highest),17.4,27.6,98145.0,13.219424460431656,Not recorded,Not recorded
way/165351015,17031170600,,,,,,Chicago,-87.8279951189177,41.94329046785408,Dunning,Q3,23.1,29.5,78187.0,3.4294621979735,Not recorded,Not recorded
way/165351022,17031170700,,,,,,Chicago,-87.82467673233847,41.94441181851958,Dunning,Q3,25.0,30.8,82284.0,2.5335775335775335,Not recorded,Not recorded
way/165351038,17031170700,,,,,,Chicago,-87.82569955156379,41.944223243258755,Dunning,Q3,25.0,30.8,82284.0,2.5335775335775335,Not recorded,Not recorded
way/165351039,17031170700,,,,,,Chicago,-87.82468355966893,41.9437210110679,Dunning,Q3,25.0,30.8,82284.0,2.5335775335775335,Not recorded,Not recorded
way/165351041,17031170700,,,,,,Chicago,-87.82566337769633,41.94365453981889,Dunning,Q3,25.0,30.8,82284.0,2.5335775335775335,Not recorded,Not recorded
way/166390647,17031100300,,,,,,Chicago,-87.803289,41.9895792,Norwood Park,Q3,21.6,26.7,74250.0,1.5900779138177772,Not recorded,Not recorded
way/166547570,17031672000,,,,,,Chicago,-87.66795305,41.760829799999996,Englewood,Q1 (lowest),37.0,42.9,45192.0,77.97385620915033,Not recorded,Not recorded
way/172227195,17031220702,,,,,,Chicago,-87.72431800000001,41.93160235,Logan Square,Q3,23.6,32.1,80452.0,5.2026143790849675,Not recorded,Not recorded
way/172583072,17031530100,,,,,,Chicago,-87.61580965,41.679998999999995,West Pullman,Q1 (lowest),45.6,45.4,29747.0,40.58127018299246,Not recorded,Not recorded
way/172897228,17031430900,yes,,,,,Chicago,-87.58473364999999,41.76211715000001,South Shore,Q1 (lowest),32.7,43.6,31357.0,96.89320388349515,Not recorded,Not recorded
way/172897229,17031430900,,,,,,Chicago,-87.58382329300947,41.76168527547552,South Shore,Q1 (lowest),32.7,43.6,31357.0,96.89320388349515,Not recorded,Not recorded
way/173723594,17031830600,,,,,,Chicago,-87.6701396,41.99899305,Rogers Park,Q2,21.6,31.2,64261.0,18.82526938516797,Not recorded,Not recorded
way/178118069,17031510300,,,,,,Chicago,-87.57197742456272,41.71919209640786,South Deering,Q1 (lowest),38.3,45.5,30875.0,98.68807961999548,Not recorded,Not recorded
way/178119248,17031500100,,,,,,Chicago,-87.59625095,41.7178135,Pullman,Q2,26.7,39.0,67708.0,96.54272667971297,Not recorded,Not recorded
way/178134565,17031691500,,,,,,Chicago,-87.59977365000002,41.75571240000001,Grand Crossing,Q1 (lowest),40.2,48.9,24101.0,95.20624303232998,Not recorded,Not recorded
way/178543493,17031241400,,,asphalt,yes,,Chicago,-87.67633245,41.90786249999999,Wicker Park,Q4 (highest),10.6,23.3,200429.0,4.697303713752755,Lit,Not recorded
way/178747277,17031520200,,,,,,Chicago,-87.5381575747763,41.71999459087667,East Side,Q1 (lowest),33.9,36.7,46803.0,3.163771712158809,Not recorded,Not recorded
way/179119871,17031833100,yes,2,,,,Chicago,-87.66054914991986,41.879911925560066,West Loop,Q4 (highest),11.0,23.4,168125.0,5.939148983945212,Not recorded,Full court (2+ hoops)
way/179614966,17031833900,yes,4,,,,Chicago,-87.55724420963024,41.73336277466628,South Chicago,Q1 (lowest),44.0,46.2,40694.0,46.80108569212873,Not recorded,Full court (2+ hoops)
way/183799435,17031030500,,,,,,Chicago,-87.66778291145916,41.98865306430327,Edgewater,Q4 (highest),13.8,26.5,123464.0,5.854946420251592,Not recorded,Not recorded
