"Year","StateAbbr","StateDesc","CountyName","CountyFIPS","LocationName","DataSource","Category","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","TotalPopulation","TotalPop18plus","Geolocation","LocationID","CategoryID","MeasureId","DataValueTypeID","Short_Question_Text"
"2023","IL","Illinois","Cook","17031","17031720400","BRFSS","Health Status","Fair or poor self-rated health status among adults","%","Crude prevalence","15.6",,,"12.9","18.4","1,961","1,431","POINT (-87.6866686 41.7099918)","17031720400","HLTHSTAT","GHLTH","CrdPrv","General Health"
"2023","IL","Illinois","Cook","17031","17031804312","BRFSS","Health Risk Behaviors","Binge drinking among adults","%","Crude prevalence","16.5",,,"14.6","18.5","2,238","1,720","POINT (-88.2008038 42.0542353)","17031804312","RISKBEH","BINGE","CrdPrv","Binge Drinking"
"2023","IL","Illinois","Cook","17031","17031819000","BRFSS","Health Outcomes","Coronary heart disease among adults","%","Crude prevalence","4.8",,,"4.2","5.4","4,768","3,423","POINT (-87.8950412 41.8259449)","17031819000","HLTHOUT","CHD","CrdPrv","Coronary Heart Disease"
"2023","IL","Illinois","Cook","17031","17031812100","BRFSS","Disability","Any disability among adults","%","Crude prevalence","19.7",,,"17.2","22.4","4,763","3,413","POINT (-87.7798547 41.9025047)","17031812100","DISABLT","DISABILITY","CrdPrv","Any Disability"
"2023","IL","Illinois","Cook","17031","17031740400","BRFSS","Health Risk Behaviors","Current cigarette smoking among adults","%","Crude prevalence","11.4",,,"9.3","13.7","4,695","3,617","POINT (-87.7193158 41.6872391)","17031740400","RISKBEH","CSMOKING","CrdPrv","Current Cigarette Smoking"
"2023","IL","Illinois","Cook","17031","17031808600","BRFSS","Health Outcomes","High cholesterol among adults who have ever been screened","%","Crude prevalence","35.1",,,"32.3","37.7","2,465","1,844","POINT (-87.7856085 42.0602335)","17031808600","HLTHOUT","HIGHCHOL","CrdPrv","High Cholesterol"
"2023","IL","Illinois","Cook","17031","17031720200","BRFSS","Health Risk Behaviors","Current cigarette smoking among adults","%","Crude prevalence","8.7",,,"7.1","10.4","4,131","3,257","POINT (-87.6660545 41.7130417)","17031720200","RISKBEH","CSMOKING","CrdPrv","Current Cigarette Smoking"
"2023","IL","Illinois","Cook","17031","17031807000","BRFSS","Health-Related Social Needs","Housing insecurity in the past 12 months among adults","%","Crude prevalence","14.5",,,"12.5","16.6","5,866","4,601","POINT (-87.75554 42.0444492)","17031807000","SOCLNEED","HOUSINSECU","CrdPrv","Housing Insecurity"
"2023","IL","Illinois","Cook","17031","17031801200","BRFSS","Health-Related Social Needs","Utility services shut-off threat in the past 12 months among adults","%","Crude prevalence","2.5",,,"2.0","3.0","3,651","2,701","POINT (-87.68483 42.0788722)","17031801200","SOCLNEED","SHUTUTILITY","CrdPrv","Utility Services Threat"
"2022","IL","Illinois","Cook","17031","17031804709","BRFSS","Prevention","Colorectal cancer screening among adults aged 45–75 years","%","Crude prevalence","54.4",,,"50.4","58.3","6,814","5,529","POINT (-88.087406 42.0374913)","17031804709","PREVENT","COLON_SCREEN","CrdPrv","Colorectal Cancer Screening"
"2023","IL","Illinois","Cook","17031","17031803012","BRFSS","Health-Related Social Needs","Received food stamps in the past 12 months among adults","%","Crude prevalence","9.8",,,"7.9","12.1","2,234","1,827","POINT (-87.995232 42.1432824)","17031803012","SOCLNEED","FOODSTAMP","CrdPrv","Food Stamps"
"2023","IL","Illinois","Cook","17031","17031823400","BRFSS","Health-Related Social Needs","Received food stamps in the past 12 months among adults","%","Crude prevalence","26.7",,,"23.1","30.7","4,892","3,702","POINT (-87.6965048 41.6651703)","17031823400","SOCLNEED","FOODSTAMP","CrdPrv","Food Stamps"
"2023","IL","Illinois","Cook","17031","17031711300","BRFSS","Health Risk Behaviors","Binge drinking among adults","%","Crude prevalence","12.5",,,"10.9","14.1","1,462","1,177","POINT (-87.6672855 41.7335044)","17031711300","RISKBEH","BINGE","CrdPrv","Binge Drinking"
