"Year","StateAbbr","StateDesc","CountyName","CountyFIPS","LocationName","DataSource","Category","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","TotalPopulation","TotalPop18plus","Geolocation","LocationID","CategoryID","MeasureId","DataValueTypeID","Short_Question_Text"
"2023","GA","Georgia","Fulton","13121","13121010223","BRFSS","Health Risk Behaviors","Binge drinking among adults","%","Crude prevalence","15.4",,,"13.2","18.0","3,189","2,608","POINT (-84.4216668 33.8959813)","13121010223","RISKBEH","BINGE","CrdPrv","Binge Drinking"
"2023","GA","Georgia","Fulton","13121","13121002500","BRFSS","Health-Related Social Needs","Lack of social and emotional support among adults","%","Crude prevalence","34.3",,,"29.5","39.1","2,273","1,766","POINT (-84.4126613 33.7590744)","13121002500","SOCLNEED","EMOTIONSPT","CrdPrv","Lack of Social/Emotional Support"
"2023","GA","Georgia","Fulton","13121","13121000400","BRFSS","Health Risk Behaviors","No leisure-time physical activity among adults","%","Crude prevalence","12.1",,,"10.0","14.4","1,865","1,687","POINT (-84.3785105 33.7883241)","13121000400","RISKBEH","LPA","CrdPrv","Physical Inactivity"
"2023","GA","Georgia","Fulton","13121","13121009503","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","81.8",,,"79.4","84.2","2,010","1,927","POINT (-84.3857987 33.8340409)","13121009503","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","GA","Georgia","Fulton","13121","13121001801","BRFSS","Health Status","Fair or poor self-rated health status among adults","%","Crude prevalence","26.3",,,"22.7","30.3","2,037","1,939","POINT (-84.3772497 33.7691422)","13121001801","HLTHSTAT","GHLTH","CrdPrv","General Health"
"2023","GA","Georgia","Fulton","13121","13121007806","BRFSS","Disability","Self-care disability among adults","%","Crude prevalence","5.4",,,"4.4","6.4","5,390","4,173","POINT (-84.5145823 33.7459578)","13121007806","DISABLT","SELFCARE","CrdPrv","Self-care Disability"
"2023","GA","Georgia","Fulton","13121","13121008906","BRFSS","Disability","Vision disability among adults","%","Crude prevalence","2.6",,,"2.2","3.2","2,247","1,693","POINT (-84.440818 33.8199847)","13121008906","DISABLT","VISION","CrdPrv","Vision Disability"
"2022","GA","Georgia","Fulton","13121","13121007602","BRFSS","Health Risk Behaviors","Short sleep duration among adults","%","Crude prevalence","49.4",,,"45.2","53.6","2,309","1,847","POINT (-84.4621548 33.7109013)","13121007602","RISKBEH","SLEEP","CrdPrv","Short Sleep Duration"
"2023","GA","Georgia","Fulton","13121","13121004400","BRFSS","Health Outcomes","Chronic obstructive pulmonary disease among adults","%","Crude prevalence","9.9",,,"8.5","11.3","2,667","1,844","POINT (-84.4017769 33.7407558)","13121004400","HLTHOUT","COPD","CrdPrv","COPD"
"2023","GA","Georgia","DeKalb","13089","13089023701","BRFSS","Health Outcomes","Coronary heart disease among adults","%","Crude prevalence","3.4",,,"3.0","3.8","2,640","2,214","POINT (-84.3213082 33.7389553)","13089023701","HLTHOUT","CHD","CrdPrv","Coronary Heart Disease"
"2023","GA","Georgia","Fulton","13121","13121008203","BRFSS","Disability","Hearing disability among adults","%","Crude prevalence","6.6",,,"5.6","7.6","2,520","1,952","POINT (-84.4829836 33.7754825)","13121008203","DISABLT","HEARING","CrdPrv","Hearing Disability"
"2023","GA","Georgia","Fulton","13121","13121010132","BRFSS","Health Risk Behaviors","Binge drinking among adults","%","Crude prevalence","17.0",,,"14.6","19.8","3,301","2,813","POINT (-84.3680555 33.9149445)","13121010132","RISKBEH","BINGE","CrdPrv","Binge Drinking"
"2022","GA","Georgia","Fulton","13121","13121008500","BRFSS","Prevention","Colorectal cancer screening among adults aged 45–75 years","%","Crude prevalence","61.6",,,"57.2","65.5","2,818","2,086","POINT (-84.4442592 33.7757842)","13121008500","PREVENT","COLON_SCREEN","CrdPrv","Colorectal Cancer Screening"
"2023","GA","Georgia","DeKalb","13089","13089023447","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","84.8",,,"82.6","86.9","2,643","2,261","POINT (-84.2184847 33.688097)","13089023447","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","GA","Georgia","Fulton","13121","13121006801","BRFSS","Health Outcomes","Depression among adults","%","Crude prevalence","16.0",,,"13.8","18.7","2,297","2,293","POINT (-84.3677884 33.7102924)","13121006801","HLTHOUT","DEPRESSION","CrdPrv","Depression"
"2023","GA","Georgia","Fulton","13121","13121003600","BRFSS","Health Risk Behaviors","Binge drinking among adults","%","Crude prevalence","15.8",,,"13.4","18.5","902","805","POINT (-84.4029233 33.7518731)","13121003600","RISKBEH","BINGE","CrdPrv","Binge Drinking"
"2023","GA","Georgia","Fulton","13121","13121009408","BRFSS","Health Risk Behaviors","Binge drinking among adults","%","Crude prevalence","17.4",,,"14.9","20.3","1,861","1,754","POINT (-84.362262 33.8287241)","13121009408","RISKBEH","BINGE","CrdPrv","Binge Drinking"
"2023","GA","Georgia","Fulton","13121","13121005700","BRFSS","Health Risk Behaviors","Binge drinking among adults","%","Crude prevalence","12.0",,,"10.1","14.2","1,550","1,173","POINT (-84.4038231 33.732147)","13121005700","RISKBEH","BINGE","CrdPrv","Binge Drinking"
"2022","GA","Georgia","Fulton","13121","13121007708","BRFSS","Prevention","Visited dentist or dental clinic in the past year among adults","%","Crude prevalence","57.0",,,"53.9","60.3","3,283","2,356","POINT (-84.48229 33.7109078)","13121007708","PREVENT","DENTAL","CrdPrv","Dental Visit"
"2022","GA","Georgia","Fulton","13121","13121008701","BRFSS","Prevention","Visited dentist or dental clinic in the past year among adults","%","Crude prevalence","37.3",,,"34.2","40.4","3,333","2,454","POINT (-84.4727831 33.7999736)","13121008701","PREVENT","DENTAL","CrdPrv","Dental Visit"
"2023","GA","Georgia","Fulton","13121","13121009405","BRFSS","Health Outcomes","Cancer (non-skin) or melanoma among adults","%","Crude prevalence","2.1",,,"1.9","2.4","4,332","4,055","POINT (-84.3680894 33.8210234)","13121009405","HLTHOUT","CANCER","CrdPrv","Cancer (non-skin) or Melanoma"
"2023","GA","Georgia","Fulton","13121","13121008908","BRFSS","Health Outcomes","Diagnosed diabetes among adults","%","Crude prevalence","5.8",,,"5.1","6.6","2,272","1,999","POINT (-84.40488 33.7998445)","13121008908","HLTHOUT","DIABETES","CrdPrv","Diabetes"
"2023","GA","Georgia","Fulton","13121","13121000700","BRFSS","Health Status","Fair or poor self-rated health status among adults","%","Crude prevalence","18.6",,,"14.8","23.0","3,500","3,252","POINT (-84.4234369 33.7800638)","13121000700","HLTHSTAT","GHLTH","CrdPrv","General Health"
"2023","GA","Georgia","Fulton","13121","13121007809","BRFSS","Health Outcomes","Stroke among adults","%","Crude prevalence","4.6",,,"4.1","5.1","4,380","3,527","POINT (-84.5393504 33.7100701)","13121007809","HLTHOUT","STROKE","CrdPrv","Stroke"
"2023","GA","Georgia","Fulton","13121","13121010211","BRFSS","Health Outcomes","Coronary heart disease among adults","%","Crude prevalence","4.0",,,"3.6","4.5","3,373","2,477","POINT (-84.3956762 33.8812683)","13121010211","HLTHOUT","CHD","CrdPrv","Coronary Heart Disease"
"2023","GA","Georgia","Fulton","13121","13121001206","BRFSS","Prevention","Taking medicine to control high blood pressure among adults with high blood pressure","%","Crude prevalence","59.7",,,"55.8","63.4","4,296","4,141","POINT (-84.3849538 33.7795463)","13121001206","PREVENT","BPMED","CrdPrv","High Blood Pressure Medication"
"2023","GA","Georgia","Fulton","13121","13121006300","BRFSS","Health Status","Frequent physical distress among adults","%","Crude prevalence","14.9",,,"13.1","16.9","1,757","1,381","POINT (-84.3997049 33.7237613)","13121006300","HLTHSTAT","PHLTH","CrdPrv","Frequent Physical Distress"
"2023","GA","Georgia","Fulton","13121","13121009504","BRFSS","Disability","Cognitive disability among adults","%","Crude prevalence","10.2",,,"8.7","12.0","3,330","2,955","POINT (-84.3861271 33.843759)","13121009504","DISABLT","COGNITION","CrdPrv","Cognitive Disability"
"2023","GA","Georgia","Fulton","13121","13121007302","BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence","41.1",,,"36.2","46.0","3,031","2,132","POINT (-84.3739015 33.6743051)","13121007302","HLTHOUT","OBESITY","CrdPrv","Obesity"
"2022","GA","Georgia","DeKalb","13089","13089023446","BRFSS","Health Risk Behaviors","Short sleep duration among adults","%","Crude prevalence","42.3",,,"37.7","47.1","1,888","1,452","POINT (-84.2601098 33.7076582)","13089023446","RISKBEH","SLEEP","CrdPrv","Short Sleep Duration"
"2023","GA","Georgia","Fulton","13121","13121003800","BRFSS","Health Status","Fair or poor self-rated health status among adults","%","Crude prevalence","13.1",,,"9.9","16.3","3,456","3,350","POINT (-84.412023 33.7508286)","13121003800","HLTHSTAT","GHLTH","CrdPrv","General Health"
"2023","GA","Georgia","Fulton","13121","13121001702","BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence","20.6",,,"17.6","24.1","3,531","3,373","POINT (-84.364279 33.7657765)","13121001702","HLTHOUT","OBESITY","CrdPrv","Obesity"
"2023","GA","Georgia","Fulton","13121","13121006100","BRFSS","Health Risk Behaviors","No leisure-time physical activity among adults","%","Crude prevalence","31.1",,,"27.2","35.7","3,269","2,695","POINT (-84.4370324 33.7277552)","13121006100","RISKBEH","LPA","CrdPrv","Physical Inactivity"
"2023","GA","Georgia","Fulton","13121","13121001002","BRFSS","Health Outcomes","Stroke among adults","%","Crude prevalence","0.7",,,"0.6","0.8","7,010","6,904","POINT (-84.3995124 33.7763564)","13121001002","HLTHOUT","STROKE","CrdPrv","Stroke"
"2023","GA","Georgia","Fulton","13121","13121010004","BRFSS","Health Outcomes","Diagnosed diabetes among adults","%","Crude prevalence","8.6",,,"7.4","9.9","1,712","1,219","POINT (-84.3727028 33.873213)","13121010004","HLTHOUT","DIABETES","CrdPrv","Diabetes"
"2023","GA","Georgia","Fulton","13121","13121010126","BRFSS","Prevention","Cholesterol screening among adults","%","Crude prevalence","87.6",,,"85.6","89.4","2,681","2,209","POINT (-84.3676156 33.9437071)","13121010126","PREVENT","CHOLSCREEN","CrdPrv","Cholesterol Screening"
"2023","GA","Georgia","Fulton","13121","13121010306","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","81.9",,,"79.3","84.4","5,156","3,862","POINT (-84.570041 33.6704704)","13121010306","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","GA","Georgia","Fulton","13121","13121001902","BRFSS","Prevention","Taking medicine to control high blood pressure among adults with high blood pressure","%","Crude prevalence","72.7",,,"69.4","75.7","2,258","2,014","POINT (-84.3865852 33.7658759)","13121001902","PREVENT","BPMED","CrdPrv","High Blood Pressure Medication"
"2023","GA","Georgia","Fulton","13121","13121001302","BRFSS","Health-Related Social Needs","Food insecurity in the past 12 months among adults","%","Crude prevalence","10.4",,,"8.2","13.0","2,179","1,865","POINT (-84.3700095 33.776147)","13121001302","SOCLNEED","FOODINSECU","CrdPrv","Food Insecurity"
"2023","GA","Georgia","Fulton","13121","13121010127","BRFSS","Health Status","Frequent mental distress among adults","%","Crude prevalence","12.9",,,"11.4","14.6","2,557","2,115","POINT (-84.3614721 33.9493933)","13121010127","HLTHSTAT","MHLTH","CrdPrv","Frequent Mental Distress"
